date,gdpc1,gdp,gdpdef,fedtax,fedspend,cpi
1947-01-01,2182.681,243.164,11.141,36.86,40.902,21.7
1947-04-01,2176.892,245.968,11.299,36.316,40.346,22.01
1947-07-01,2172.432,249.585,11.489,36.264,42.007,22.49
1947-10-01,2206.452,259.745,11.772,38.744,38.149,23.1267
1948-01-01,2239.682,265.742,11.865,38.952,38.915,23.6167
1948-04-01,2276.69,272.567,11.972,37.684,39.904,23.9933
1948-07-01,2289.77,279.196,12.193,36.74,42.739,24.3967
1948-10-01,2292.364,280.366,12.23,36.528,44.051,24.1733
1949-01-01,2260.807,275.034,12.165,34.424,45.908,23.9433
1949-04-01,2253.128,271.351,12.043,32.52,47.016,23.9167
1949-07-01,2276.424,272.889,11.988,32.324,46.824,23.7167
1949-10-01,2257.352,270.627,11.989,31.336,45.583,23.66
1950-01-01,2346.104,280.828,11.97,35.864,52.902,23.5867
1950-04-01,2417.682,290.383,12.011,40.024,46.098,23.7667
1950-07-01,2511.127,308.153,12.272,46.116,42.215,24.2033
1950-10-01,2559.214,319.945,12.502,50.492,46.464,24.6933
1951-01-01,2593.967,336.0,12.953,57.628,51.8,25.6967
1951-04-01,2638.898,344.09,13.039,54.644,56.56,25.9467
1951-07-01,2693.259,351.385,13.047,54.028,61.393,25.9333
1951-10-01,2699.156,356.178,13.196,57.644,63.905,26.3167
1952-01-01,2727.954,359.82,13.19,57.484,63.546,26.4167
1952-04-01,2733.8,361.03,13.206,57.676,67.23,26.4867
1952-07-01,2753.517,367.701,13.354,58.076,70.056,26.6667
1952-10-01,2843.941,380.812,13.39,61.04,70.885,26.6967
1953-01-01,2896.811,387.98,13.393,62.704,71.596,26.62
1953-04-01,2919.206,391.749,13.42,62.96,73.781,26.72
1953-07-01,2902.785,391.171,13.476,62.0,72.127,26.8433
1953-10-01,2858.845,385.97,13.501,56.928,73.561,26.89
1954-01-01,2845.192,385.345,13.544,53.236,71.375,26.9533
1954-04-01,2848.305,386.121,13.556,53.36,70.056,26.91
1954-07-01,2880.482,390.996,13.574,54.012,69.904,26.84
1954-10-01,2936.852,399.734,13.611,55.992,70.683,26.7567
1955-01-01,3020.746,413.073,13.675,59.228,71.276,26.7933
1955-04-01,3069.91,421.532,13.731,61.024,70.836,26.7567
1955-07-01,3111.379,430.221,13.827,62.492,72.676,26.7767
1955-10-01,3130.068,437.092,13.964,64.132,71.777,26.8567
1956-01-01,3117.922,439.746,14.104,63.936,71.909,26.86
1956-04-01,3143.694,446.01,14.187,65.176,74.834,27.0367
1956-07-01,3140.874,451.191,14.365,64.956,74.181,27.3167
1956-10-01,3192.57,460.463,14.423,67.636,76.822,27.55
1957-01-01,3213.011,469.779,14.621,68.528,80.058,27.7767
1957-04-01,3205.97,472.025,14.723,67.94,81.446,28.0133
1957-07-01,3237.386,479.49,14.811,67.792,81.451,28.2633
1957-10-01,3203.894,474.864,14.821,65.16,84.813,28.4
1958-01-01,3120.724,467.54,14.982,61.632,83.792,28.7367
1958-04-01,3141.224,471.978,15.025,61.632,88.476,28.93
1958-07-01,3213.884,485.841,15.117,64.8,89.193,28.9133
1958-10-01,3289.032,499.555,15.189,68.412,90.999,28.9433
1959-01-01,3352.129,510.33,15.224,70.632,89.118,28.9933
1959-04-01,3427.667,522.653,15.248,74.056,90.132,29.0433
1959-07-01,3430.057,525.034,15.307,72.152,90.742,29.1933
1959-10-01,3439.832,528.6,15.367,72.496,92.047,29.37
1960-01-01,3517.181,542.648,15.428,77.184,90.543,29.3967
1960-04-01,3498.246,541.08,15.467,75.816,92.628,29.5733
1960-07-01,3515.385,545.604,15.52,75.24,93.723,29.59
1960-10-01,3470.278,540.197,15.566,73.98,96.698,29.78
1961-01-01,3493.703,545.018,15.6,73.82,96.51,29.84
1961-04-01,3553.021,555.545,15.636,75.66,100.155,29.83
1961-07-01,3621.252,567.664,15.676,77.316,100.502,29.9467
1961-10-01,3692.289,580.612,15.725,80.288,102.076,29.99
1962-01-01,3758.147,594.013,15.806,80.136,105.952,30.1067
1962-04-01,3792.149,600.366,15.832,81.324,107.795,30.22
1962-07-01,3838.776,609.027,15.865,83.648,109.32,30.3067
